Olá | Bonjour / Salut
Bom dia | Bonjour (le matin)
Boa tarde | Bonjour (l'après-midi)
Boa noite | Bonsoir / Bonne nuit
Adeus | Au revoir
Até logo | À bientôt
Até amanhã | À demain
Tudo bem ? | Ça va ?
Tudo bem | Ça va bien
Como está ? | Comment allez-vous ?
Obrigado | Merci (dit par un homme)
Obrigada | Merci (dit par une femme)
De nada | De rien
Por favor | S'il vous plaît
Desculpe | Excusez-moi / Pardon
Com licença | Pardon (pour passer)
Sim | Oui
Não | Non
Talvez | Peut-être
Se faz favor | S'il vous plaît (Portugal)
Como se chama ? | Comment vous appelez-vous ?
Chamo-me Ana | Je m'appelle Ana
Muito prazer | Enchanté
Eu sou francês | Je suis français
Eu sou francesa | Je suis française
De onde é ? | D'où venez-vous ?
Sou de França | Je viens de France
Quantos anos tem ? | Quel âge avez-vous ?
Tenho trinta anos | J'ai trente ans
Falo um pouco de português | Je parle un peu portugais
Não percebo | Je ne comprends pas
Pode repetir ? | Pouvez-vous répéter ?
Fala francês ? | Parlez-vous français ?
Como se diz … ? | Comment dit-on … ?
O que significa ? | Qu'est-ce que ça veut dire ?
um | un
dois | deux
três | trois
quatro | quatre
cinco | cinq
seis | six
sete | sept
oito | huit
nove | neuf
dez | dix
onze | onze
doze | douze
vinte | vingt
trinta | trente
cem | cent
mil | mille
segunda-feira | lundi
terça-feira | mardi
quarta-feira | mercredi
quinta-feira | jeudi
sexta-feira | vendredi
sábado | samedi
domingo | dimanche
hoje | aujourd'hui
amanhã | demain
ontem | hier
agora | maintenant
sempre | toujours
nunca | jamais
às vezes | parfois
cedo | tôt
tarde | tard
ser | être (permanent)
estar | être (état, lieu)
ter | avoir
ir | aller
fazer | faire
querer | vouloir
poder | pouvoir
saber | savoir
falar | parler
comer | manger
beber | boire
dormir | dormir
viver | vivre
ver | voir
ouvir | entendre
gostar | aimer / apprécier
Eu sou professor | Je suis professeur (métier, durable)
Eu estou cansado | Je suis fatigué (état passager)
Ela é alta | Elle est grande (caractéristique)
Ela está em casa | Elle est à la maison (lieu)
