acordar | se réveiller
levantar-se | se lever
tomar banho | prendre une douche
vestir-se | s’habiller
tomar o pequeno-almoço | prendre le petit-déjeuner
almoçar | déjeuner
jantar | dîner
deitar-se | se coucher
Normalmente acordo às sete | Normalement, je me réveille à sept heures
Todos os dias vou trabalhar | Tous les jours, je vais travailler
Aos fins de semana descanso | Le week-end, je me repose
às vezes | parfois
sempre | toujours
nunca | jamais
frequentemente | fréquemment
raramente | rarement
já | déjà
ainda | encore
ainda não | pas encore
o tempo livre | le temps libre
o desporto | le sport
a música | la musique
o cinema | le cinéma
a fotografia | la photographie
ler | lire
escrever | écrire
jogar | jouer
viajar | voyager
cozinhar | cuisiner
passear | se promener
Prefiro ficar em casa | Je préfère rester à la maison
Gosto mais de música do que de cinema | J’aime davantage la musique que le cinéma
Qual é o teu passatempo preferido? | Quel est ton loisir préféré ?
o supermercado | le supermarché
a farmácia | la pharmacie
o hospital | l’hôpital
o banco | la banque
os correios | la poste
a biblioteca | la bibliothèque
a paragem | l’arrêt
o cruzamento | le carrefour
Vire à direita | Tournez à droite
Siga em frente | Continuez tout droit
Atravessa a rua | Traverse la rue
Fica ao lado do banco | C’est à côté de la banque
Fica entre a loja e o café | C’est entre le magasin et le café
o bilhete | le billet
ida | aller
ida e volta | aller-retour
Que horas parte o comboio? | À quelle heure part le train ?
Quanto tempo demora? | Combien de temps cela prend-il ?
Quero reservar um quarto | Je voudrais réserver une chambre
Tem um quarto livre? | Avez-vous une chambre disponible ?
por noite | par nuit
incluído | inclus
o pequeno-almoço está incluído | le petit-déjeuner est inclus
a reserva | la réservation
o passaporte | le passeport
a bagagem | les bagages
Perdi a minha mala | J’ai perdu ma valise
Preciso de ajuda | J’ai besoin d’aide
Estou perdido | Je suis perdu
Estou perdida | Je suis perdue
o médico | le médecin
a consulta | la consultation
a dor | la douleur
Tenho dores de cabeça | J’ai mal à la tête
Dói-me a garganta | J’ai mal à la gorge
Estou constipado | Je suis enrhumé
Estou constipada | Je suis enrhumée
Tenho febre | J’ai de la fièvre
Preciso de um medicamento | J’ai besoin d’un médicament
alérgico | allergique
alérgica | allergique
o tamanho | la taille
pequeno | petit
médio | moyen
grande | grand
Experimentar | essayer
Posso experimentar? | Puis-je essayer ?
Fica-me bem | Ça me va bien
Tem noutra cor? | Vous l’avez dans une autre couleur ?
Posso pagar com cartão? | Puis-je payer par carte ?
Quero a conta, por favor | L’addition, s’il vous plaît
entrada | entrée
prato principal | plat principal
sobremesa | dessert
sem carne | sans viande
sem açúcar | sans sucre
sem glúten | sans gluten
Sou vegetariano | Je suis végétarien
Sou vegetariana | Je suis végétarienne
Gostaria de reservar uma mesa | J’aimerais réserver une table
O que recomenda? | Que recommandez-vous ?
Está delicioso | C’est délicieux
o passado | le passé
o futuro | le futur
Ontem trabalhei muito | Hier, j’ai beaucoup travaillé
Na semana passada viajei | La semaine dernière, j’ai voyagé
Amanhã vou estudar | Demain, je vais étudier
No próximo mês vou a Portugal | Le mois prochain, je vais au Portugal
fui | je suis allé / je suis allée
vi | j’ai vu
fiz | j’ai fait
comi | j’ai mangé
bebi | j’ai bu
comprei | j’ai acheté
cheguei | je suis arrivé
saí | je suis sorti
Conjugue « ir » au passé : eu | eu fui
Conjugue « fazer » au passé : eu | eu fiz
Conjugue « ver » au passé : eu | eu vi
Conjugue « comer » au passé : eu | eu comi
mais ... do que | plus ... que
menos ... do que | moins ... que
tão ... como | aussi ... que
Este carro é mais rápido do que aquele | Cette voiture est plus rapide que celle-là
A minha casa é menor do que a tua | Ma maison est plus petite que la tienne
Este exercício é tão fácil como o anterior | Cet exercice est aussi facile que le précédent
porque | parce que
por isso | c’est pourquoi
mas | mais
ou | ou
então | alors
quando | quand
se | si
embora | bien que / quoique
Quero sair porque está bom tempo | Je veux sortir parce qu’il fait beau
Está a chover, por isso fico em casa | Il pleut, donc je reste à la maison
Se tiver tempo, telefono-te | Si j’ai le temps, je t’appelle
o apartamento | l’appartement
a renda | le loyer
o vizinho | le voisin
a vizinha | la voisine
mudar de casa | déménager
limpar | nettoyer
arrumar | ranger
lavar a roupa | laver le linge
fazer compras | faire les courses
o aniversário | l’anniversaire
o presente | le cadeau
convidar | inviter
aceitar | accepter
recusar | refuser
Queres vir à minha festa? | Veux-tu venir à ma fête ?
Com todo o gosto | Avec plaisir
Desculpa, não posso | Désolé, je ne peux pas
Que tal sábado? | Que dirais-tu de samedi ?
Vamos encontrar-nos às oito | Retrouvons-nous à huit heures
o tempo está bom | il fait beau
está a chover | il pleut
está vento | il y a du vent
está nublado | c’est nuageux
está frio | il fait froid
está calor | il fait chaud
Qual é a previsão do tempo? | Quelles sont les prévisions météo ?
Traduis : J’ai travaillé hier. | Trabalhei ontem.
Traduis : Nous allons voyager demain. | Vamos viajar amanhã.
Traduis : Je voudrais réserver une table. | Gostaria de reservar uma mesa.
Traduis : Cette chemise est trop grande. | Esta camisa é demasiado grande.
Traduis : Je ne suis jamais allé au Portugal. | Nunca fui a Portugal.
