dar a sua opinião | donner son opinion
Na minha opinião | À mon avis
Eu acho que | Je pense que
Penso que | Je pense que
Do meu ponto de vista | De mon point de vue
Concordo contigo | Je suis d’accord avec toi
Não concordo | Je ne suis pas d’accord
Depende | Ça dépend
Por um lado | D’un côté
Por outro lado | D’un autre côté
Apesar disso | Malgré cela
No entanto | Cependant
Além disso | En outre
Em primeiro lugar | En premier lieu
Por fim | Enfin
o ambiente | l’environnement
a poluição | la pollution
a reciclagem | le recyclage
as alterações climáticas | le changement climatique
poupar água | économiser l’eau
reduzir o desperdício | réduire le gaspillage
proteger a natureza | protéger la nature
É importante reciclar | Il est important de recycler
Devemos consumir menos plástico | Nous devrions consommer moins de plastique
a educação | l’éducation
o ensino | l’enseignement
a formação | la formation
a disciplina | la matière / discipline
aprovar | réussir / être reçu
reprovar | échouer / être recalé
frequentar um curso | suivre une formation
tirar um diploma | obtenir un diplôme
aprender sozinho | apprendre seul
Trabalho como designer gráfico | Je travaille comme graphiste
Tenho experiência em | J’ai de l’expérience en
Estou à procura de emprego | Je cherche un emploi
o currículo | le CV
a entrevista | l’entretien
o contrato | le contrat
o salário | le salaire
o horário | les horaires
trabalhar por conta própria | travailler à son compte
trabalhar a tempo inteiro | travailler à temps plein
trabalhar a tempo parcial | travailler à temps partiel
candidatar-se a uma vaga | postuler à un poste
Quais são as suas qualificações? | Quelles sont vos qualifications ?
Tenho disponibilidade imediata | Je suis disponible immédiatement
a tecnologia | la technologie
o telemóvel | le téléphone portable
o computador | l’ordinateur
a aplicação | l’application
a palavra-passe | le mot de passe
descarregar | télécharger
carregar um ficheiro | téléverser un fichier
guardar | enregistrer
partilhar | partager
atualizar | mettre à jour
instalar | installer
desinstalar | désinstaller
A aplicação deixou de funcionar | L’application a cessé de fonctionner
Esqueci-me da palavra-passe | J’ai oublié le mot de passe
a notícia | l’actualité / la nouvelle
o jornal | le journal
a televisão | la télévision
as redes sociais | les réseaux sociaux
uma fonte fiável | une source fiable
notícias falsas | fausses informations
verificar a informação | vérifier l’information
o hábito | l’habitude
a rotina | la routine
o objetivo | l’objectif
o progresso | le progrès
manter a motivação | garder la motivation
desistir | abandonner
conseguir | réussir à
tentar | essayer
costumar | avoir l’habitude de
Costumo estudar à noite | J’ai l’habitude d’étudier le soir
Deixei de fumar | J’ai arrêté de fumer
Comecei a fazer exercício | J’ai commencé à faire de l’exercice
Continuo a aprender | Je continue à apprendre
Se eu pudesse, viajaria mais | Si je pouvais, je voyagerais davantage
Gostaria de viver perto do mar | J’aimerais vivre près de la mer
Seria melhor esperar | Il vaudrait mieux attendre
Devias descansar | Tu devrais te reposer
Eu teria feito diferente | J’aurais fait autrement
Embora esteja cansado, vou continuar | Bien que je sois fatigué, je vais continuer
É possível que chova | Il est possible qu’il pleuve
Espero que tudo corra bem | J’espère que tout se passera bien
Quero que venhas comigo | Je veux que tu viennes avec moi
É importante que estudes | Il est important que tu étudies
Quando tiver tempo, telefono-te | Quand j’aurai le temps, je t’appellerai
Se soubesse, dir-te-ia | Si je savais, je te le dirais
o relacionamento | la relation
dar-se bem com alguém | bien s’entendre avec quelqu’un
discutir | se disputer / discuter
resolver um problema | résoudre un problème
pedir desculpa | présenter ses excuses
perdoar | pardonner
confiar em alguém | faire confiance à quelqu’un
manter contacto | garder le contact
perder contacto | perdre le contact
o alojamento | l’hébergement
o itinerário | l’itinéraire
o guia turístico | le guide touristique
o ponto de interesse | le site d’intérêt
uma viagem inesquecível | un voyage inoubliable
ficar alojado em | loger dans
apanhar um voo | prendre un vol
fazer escala | faire escale
cancelar a viagem | annuler le voyage
o reembolso | le remboursement
apresentar uma reclamação | déposer une réclamation
Gostaria de fazer uma reclamação | Je voudrais faire une réclamation
O produto chegou danificado | Le produit est arrivé endommagé
Quero pedir um reembolso | Je veux demander un remboursement
o orçamento | le budget
as despesas | les dépenses
as poupanças | les économies
pedir dinheiro emprestado | emprunter de l’argent
pagar às prestações | payer en plusieurs fois
gastar demasiado | dépenser trop
poupar para o futuro | épargner pour l’avenir
Traduis : À mon avis, cette solution est meilleure. | Na minha opinião, esta solução é melhor.
Traduis : Bien qu’il pleuve, nous sortirons. | Embora esteja a chover, vamos sair.
Traduis : Si j’avais plus de temps, j’apprendrais davantage. | Se tivesse mais tempo, aprenderia mais.
Traduis : J’espère que tu réussiras. | Espero que consigas.
Traduis : Il est important de protéger l’environnement. | É importante proteger o ambiente.
Explique la différence : ser / estar | ser = identité ou caractéristique durable ; estar = état ou position
Conjugue « poder » au conditionnel : eu | eu poderia
Conjugue « ter » au futur : eu | eu terei
Conjugue « fazer » au futur : nós | nós faremos
Conjugue « ir » à l’imparfait : eu | eu ia
